University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems? ,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?,target
2018,Female,23,2016,BCSE,9th,Yes,Yes,2,1,Offline,Yes,Yes,2,Advance,95%,No,No,No,Web development skill(Frontend),2,Machine Learning / Deep Learning,Single,No,Family,No,3.14,No,3.14,101,"around 40,000",
2019,Male,23,2018,BCSE,11,No,No,4/5,It’s depend ,Offline,Yes,Yes,4,Intermediate,95%,No,No,Yes,"Programming, Networking",1.5,NETWORKING,Single,No,Bachelor,No,3.69,No,3.23,125,Approximately 30000,
2017,Male,26,2014,BCSE,17,No,No,3,2,Online,Yes,Yes,1,Intermediate,95,No,No,Yes,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",6,"Software, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX",Single,No,Bachelor,No,2.73,No,3.08,110,25000,
2019,Male,24,2018(diploma),BCSE,11,No,No,2-3 hour,2,Online,Yes,Yes,1-2 hour,Intermediate,80%,No,No,No,"Programming, Web development skill(Backend), Web development skill(Frontend)",3-4 hour,Software,Single,No,Bachelor,No,3.48,No,3,123,None,
2022,Male,20+,2020,BCSE,2nd,Yes,Yes,5 hour,2,Online,Yes,Yes,12,Intermediate,70-80%,No,No,Yes,Programming,2-3 hour,Software,Single,Yes,Family,No,2.61,No,Previous ,11,40000,
2022,Female,19,2020,BCSE,1st,No,No,7-8,2-3,Offline,Yes,Yes,2-3 hours,Intermediate,100%,No,No,Yes,I want to learn programming and web development ,2 hours,Software,Single,Yes,Bachelor,No,Not yet,No,Not yet,"Do not complete, because 1st semester only 1st term exam is completed",50-70 k,
2018,Male,23,2018,BCSE,12,No,No,Highest 1 hour,1 time,Offline,Yes,Yes,Highest 2-3 hour,Intermediate,Full ,Yes,No,Yes,"Programming, Web development skill(Frontend), Sports",1 hour,Software,Single,Yes,Bachelor,No,2.8,No,2.68,84,"50,000",
2020,Male,23,2019,BCSE,7,No,No,1-2,3,Offline,Yes,Yes,Half hour,Basic,90%,Yes,No,Yes,Programming,2-4,Software,Single,No,Bachelor,No,1.52,No,2.15,70,36000,
2020,Male,22,2019,BCSE,8th,No,No,2h average ,1/2,Offline,Yes,Yes,3/4h,Intermediate,80-90%,No,No,Yes,"Programming, Web development skill(Frontend)",Average 2/3h,"Software, Hardware, Artificial Intelligence, Data Science",Single,Yes,Bachelor,No,3.12,No,3.08,83,25-30k in average ,
2018,Male,24,2017,BCSE,12,No,No,5,6,Offline,Yes,Yes,1,Intermediate,90%,No,No,Yes,Networking,3,NETWORKING,In a relationship,No,Family,No,3.68,No,3.33,118,20000,
2019,Male,24,2018,BCSE,11,Yes,No,4,2,Online,Yes,No,30-40 Minutes,Intermediate,85%,Yes,Yes,Yes,"Programming, Networking",1,"NETWORKING, Data Science",Single,No,Family,No,2.25,No,2.64,103,20000,
2019,Male,22,2018,BCSE,11,Yes,No,1 Hour,2 times,Online,Yes,Yes,30 min,Intermediate,90%,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",1,"Software, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",In a relationship,No,Family,No,3.5,No,3.43,126,100000 BDT,
2022,Female,20,2020,BCSE,1st semester ,Yes,Yes,6,2,Offline,No,No,1,Basic,100%,No,No,Yes,"Programming, Software  Development skill",3,"Software, Machine Learning / Deep Learning, Artificial Intelligence",Single,No,Family,No,1st semester not completed,No,Not yet,Not completed,50000,
2020,Male,19,2019,BCSE,8th,Yes,No,"2/3 hours but sometimes more,It depends on my need.",One time,Online,Yes,Yes,1 hour or sometimes less than 1 hour,Basic,Above 90%,No,No,No,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",2,"Software, Data Science, Web Development(Frontend+Backend)",Single,No,Bachelor,No,3.36,No,3.72,88,20000,
2022,Male,20,2020,BCSE,2nd,Yes,No,1,1,Offline,Yes,Yes,4,Intermediate,99,No,No,No,Programming,2,"Software, NETWORKING, Artificial Intelligence",Single,No,Family,No,3.83,No,3.83,11,35000,
2019,Male,22,2018,BCSE,Summer 22,No,Yes,4,2,Online,Yes,Yes,1,Intermediate,90%,No,No,Yes,"Programming, Software  Development skill, Web development skill(Frontend)",4-5,"Software, Machine Learning / Deep Learning, UI/UX",Single,No,Family,No,1.98,No,2.98,104,25000,
2021,Female,19,2020,BCSE,2nd,No,Yes,3/4,2/3,Offline,Yes,Yes,2/3,Intermediate,98%,No,No,No,Programming,2,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,No,Family,Yes,3.37,Yes,Not now,11,No income source,
2022,Male,21,2021,BCSE,Fresher,Yes,Yes,Maximum 3 hours,2 times,Online,Yes,Yes,Maximum time while needed,Advance,Everyday attend class without any serious problem ,No,No,Yes,"Software  Development skill, Networking",1,"Software, Hardware, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence",Single,Yes,Family,No,I didn't understand it,No,I didn't understand it ,11 myb,I didn't start yet ,
2022,Male,19,2020,BCSE,Summer2022,Yes,No,5 hour,3 time,Offline,Yes,No,Almost 3 hour,Basic,Everyday ,No,No,No,"Programming, Microsoft Excel ",2 hour,"Software, Hardware, NETWORKING, Artificial Intelligence",Single,No,Family,No,4.5,No,Not yet received,Not yet received,30000,
2022,Male,20,2021,BCSE,1st,Yes,Yes,1.5/2 (home),1,Offline,Yes,Yes,1,Intermediate,100%,No,No,No,"Software  Development skill, Cyber security, Networking",2,"Software, NETWORKING, Data Science",Single,Yes,Family,No,0,No,0,0,"150,000",
2022,Female,20,2020,BCSE,1st,Yes,No,4hours,Twice ,Offline,Yes,Yes,3 hours,Intermediate,98%,No,No,Yes,Networking,2 hour,"NETWORKING, Artificial Intelligence",Single,Yes,Family,No,First semester,No,First semester ,Not completed yet,50000 BDT,
2017,Female,23,2014-2016,BCSE,14,No,No,3-4,2,Online,Yes,Yes,3-4,Basic,90%,No,No,Yes,Software  Development skill,2,Software,Married,No,Family,No,2.79,No,2.84,133,30000,
2021,Male,21,2019,BCSE,3rd,Yes,No,5-6 H,3-4,Offline,Yes,Yes,2H ,Intermediate,95%,No,No,Yes,Programming,1 H,"Software, Artificial Intelligence, UI/UX",Single,Yes,Bachelor,No,3.52,No,3.65,23,I Don't know.,
2021,Male,21,2020,BCSE,3rd,Yes,Yes,1-2,2,Online,Yes,Yes,2,Intermediate,90%,No,No,Yes,Web development skill(Frontend),1,"Hardware, Artificial Intelligence, UI/UX",Single,,Family,No,3.85,No,3.79,35,35000,
2019,Female,23,2018,BCSE,11,Yes,No,4,2,Online,Yes,Yes,5,Advance,70%,Yes,No,No,Cyber security,2,UI/UX,Married,Yes,Bachelor,Yes,3.01,No,2.89,120,90k+,
2021,Female,20,2020,BCSE,3rd,Yes,No,3-4,2,Offline,Yes,Yes,2-3,Advance,90%,No,No,Yes,Programming,2-3,NETWORKING,In a relationship,No,Family,No,3.18,No,3.18,24,80000,
2021,Male,19,2020,BCSE,3rd,Yes,Yes,5hours more,10,Offline,Yes,Yes,5 hour,Intermediate,100%,No,No,Yes,"Programming, Web development skill(Frontend), Cyber security",3hour,"Software, Artificial Intelligence, Data Science",Single,Yes,Bachelor,No,3.72,No,3.89,26,60000,
2021,Female,21,2020,BCSE,5th,Yes,Yes,3/4,2/3,Online,Yes,No,10+,Intermediate,70%,No,No,Yes,Programming,3,Software,Single,No,Family,Yes,2.8,No,2.9,40,500000,
21,Male,21,2020,BCSE,3rd,Yes,No,2,2,Online,Yes,Yes,3,Basic,90%,No,No,Yes,Programming,1,Software,Single,No,Family,No,3.42,No,3.56,23,50000,
2021,Male,20,2020,BCSE,Summer 2022,Yes,No,3/4,2/3,Offline,Yes,Yes,3/4,Basic,85%,No,No,No,Programming,1/2,Software,Single,No,Bachelor,No,2.49,No,3.03,25,40000,
2021,Female,19,2020,BCSE,3rd,No,Yes,2 or more than 2,1,Offline,Yes,Yes,3,Intermediate,95%,No,No,Yes,Programming,1,"Software, Artificial Intelligence, Data Science",Single,No,Family,No,4.59,No,4.67,23,Around 100000 BDT,
2021,Female,22,2017,BCSE,5th,Yes,Yes,3,2,Offline,Yes,Yes,2-3,Intermediate,90%,No,No,Yes,Programming,1,Software,Single,No,Family,Yes,3.86,No,3.67,49,20k,
2022,Male,20,2020,BCSE,1st,Yes,Yes,3 or 4 ,1,Offline,Yes,Yes,Less than 1 hour,Advance,100%,No,No,Yes,Programming,1,"Software, Data Science",Single,No,Family,No,0,No,0,0,30000,
2021,Male,21,2020,BCSE,5,Yes,Yes,6,3-4,Online,Yes,Yes,2-3,Intermediate,90%,No,No,No,"Programming, Software  Development skill",2-3,"Software, Hardware, Machine Learning / Deep Learning",Single,Yes,Family,No,3.82,No,3.7,55,50000,
2021,Male,21,2019,BCSE,3rd,Yes,No,2,1,Online,Yes,Yes,2-3,Intermediate,75%+,No,No,Yes,"Programming, Designing(Photoshop), video editing ",1,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,No,Family,No,3.58,No,3.1,23,40000,
2021,Male,21,2020,BCSE,5,No,No,5/6,2,Offline,Yes,Yes,2 hours,Intermediate,98%,No,No,Yes,Programming,2 hours,Software,Single,No,Bachelor,No,2.57,No,2.8,45,30000,
2021,Male,22,2020,BCSE,3rd,Yes,No,5 hours,2 times,Offline,Yes,Yes,2 hours,Advance,95%,No,No,Yes,"Programming, Mentoring ",2 to 3 hours,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX, Data Science",Single,Yes,Bachelor,Yes,3.86,No,3.92,23,40000,
2022,Male,22,2019,BCSE,2nd,No,No,3,1,Offline,Yes,Yes,Around 3 hours,Intermediate,80%,No,No,Yes,Programming,1 hour,"Software, UI/UX",Single,Yes,Bachelor,No,4,No,0,11,40000,
2022,Female,20,2021,BCSE,First,Yes,Yes,1 hour at home,2-3 times at University ,Offline,Yes,Yes,7-8 hours,Intermediate,80%,No,No,No,Not yet,0,"Artificial Intelligence, Data Science",Single,Yes,Family,No,,No,,0,60000,
2020,Male,23,2018,BCSE,6th,No,No,1,2,Online,Yes,Yes,2/3hour,Intermediate,90%+,Yes,No,No,Programming,1,"Software, Data Science",Single,Yes,Bachelor,No,3.1,No,3.4,65,"40,000",
2022,Female,21,2020,BCSE,First ,No,No,6-7,3/4,Offline,Yes,Yes,4 /5,Advance,100%,No,No,Yes,Programming,2/3,"Software, NETWORKING, Data Science",Single,Yes,Bachelor,No,First semester ,No,First semester ,First semester ,40000,
2021,Male,20,2020,BCSE,3,Yes,No,1hour,2,Offline,Yes,Yes,1-2hrs,Basic,95%,No,No,Yes,Programming,1-2 hour,"Software, Hardware, NETWORKING, Artificial Intelligence, UI/UX",Single,No,Family,Yes,3.68,No,3.65,24,45000 BDT,
2022,Female,21,2020,BCSE,2nd,Yes,Yes,7 hours,2,Offline,Yes,Yes,3,Basic,2%,No,No,Yes,Programming,00,Software,Single,No,Family,No,3.4,No,3.4,11,40000BDT,
2022,Male,19,2020,BCSE,Summer 2022,Yes,No,8,8,Offline,Yes,Yes,2,Basic,100%,No,No,Yes,"Data entry,  Data collection,  Google docs, Google sheets",1,"Software, NETWORKING",Single,Yes,Bachelor,No,1st semister,No,1st semister,0,10000,
2021,Male,20,2020,BCSE,3rd ,Yes,Yes,3-5,2,Offline,Yes,Yes,2-3,Advance,70%,No,No,Yes,Programming,2-3 ,"Software, Artificial Intelligence",Single,No,Family,Yes,2.45,No,2.95,25,50000,
2015,Female,25,2015,BCSE,14(dropped 7 semester),No,Yes,2/3 hour,1/2 time,Offline,Yes,Yes,Not fixed,Intermediate,80%,Yes,No,Yes,Software  Development skill,1 hour(Not regular),Software,Married,No,Family,No,2.4,No,2.89,130,Not fixed,
2021,Female,20,2020,BCSE,3rd,Yes,Yes,4-5 hours,3 or 4,Offline,Yes,Yes,1hour per day,Intermediate,99%,No,No,Yes,Programming,3,Software,Married,Yes,Family,No,3.47,No,3.2,23,50000 BDT,
2019,Male,21,2018,BCSE,11,No,Yes,0-2,1,Offline,Yes,Yes,1-3,Intermediate,85-90%,No,No,No,"Programming, Web development skill(Frontend), Cyber security, Networking",1,"Software, Hardware, NETWORKING, Cyber security",Single,No,Bachelor,No,2.53,No,3.05,115,37000,
2021,Female,23,2019,BCSE,3rd ,Yes,Yes,1,1,Offline,Yes,No,3/4,Basic,50/60%,Yes,No,Yes,Photographey ,1,Software,Single,Yes,Family,Yes,2.56,No,2.72,26,45000,
2022,Female,19,2020,BCSE,First semister ,No,No,4hrs,Twice ,Offline,Yes,Yes,3hrs,Intermediate,100%,No,No,No,Don't have any ,1,"Software, NETWORKING, Machine Learning / Deep Learning, Data Science",Single,Yes,Family,No,First semister ,No,First semister ,First semister ,100000 BDT,
2020,Male,20+,2019,BCSE,7th semester,No,No,2 or 3 hours ,One Time,Online,Yes,Yes,1-2 hours,Basic,80%,Yes,No,No,I do not know this,Few minutes,"Hardware, NETWORKING, Data Science",Single,Yes,Family,No,2.36,No,2.56,65,35000,
2022,Female,20,2020,BCSE,Summer ,No,No,2 hour,1,Offline,No,Yes,1 hours ,Basic,100℅,No,No,Yes,Nothing in this chart,1 hour,Syber Security ,Married,Yes,Bachelor,No,1st semester ,No,1st semester ,First term,400006,
2022,Male,21,2020,BCSE,First,Yes,Yes,1.5 Hours ,1 time,Online,Yes,Yes,Around 2-3 hours ,Intermediate,100%🙂,No,No,No,Not Any,Not Yet,"Software, Hardware, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX, Data Science",Single,Yes,Family,No,Not Applicable ,No,Not Applicable ,First Semester ,70000 BDT,
2022,Male,22,2020,BCSE,Summer ,Yes,Yes,4 hour,1,Offline,Yes,Yes,2,Basic,100%,Yes,Yes,Yes,Programming,2,Software,Single,No,Bachelor,No,1st semester running ,Yes,1st semester running ,11,20000,
2021,Female,20,2020,BCSE,3rd,Yes,Yes,2-3 hour,2-3 times,Online,Yes,Yes,More than 1 hour,Intermediate,90%,No,No,Yes,Programming,1,"NETWORKING, UI/UX",Single,No,Bachelor,No,3.19,Yes,2.73,24,40000,
2019,Male,21,2019,BCSE,3,No,No,2,2,Online,Yes,Yes,1,Basic,regular ,Yes,Yes,Yes,no skills ,1,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,No,Bachelor,Yes,2:11,Yes,2:13,25,30000,
2019,Female,22,2018,BCSE,11 th,No,Yes,6  hour,3 times,Offline,Yes,Yes,2-3 hour,Basic,98%,No,No,No,Programming,2 hours,Machine Learning / Deep Learning,Single,No,Family,No,3.1,No,3.07,107,"60,000",
2021,Male,21,2020,BCSE,3rd,Yes,No,4-5,2,Offline,Yes,Yes,5-6 ,Intermediate,95%,No,No,No,Programming,2,"Software, Hardware, NETWORKING",Single,Yes,Bachelor,No,3.28,No,3,25,70000,
2022,Female,21,2020,BCSE,1,Yes,Yes,1 or 2 hour ,2,Offline,Yes,Yes,2 hour ,Basic,100%,No,No,No,Programming,0 hour ,Software,Single,No,Family,No,0,No,0,11,35000 BDT,
2022,Male,20,2020,BCSE,Second ,Yes,No,5,2,Offline,Yes,Yes,3,Basic,90%,No,No,Yes,"Programming, Cyber security, Networking",1,"Software, Hardware, NETWORKING",Single,Yes,Bachelor,No,3.6,No,3.6,14,10000,
2021,Female,21,2019,BCSE,3rd,Yes,No,3/4 hour,1,Offline,Yes,Yes,1 hour,Intermediate,90%,No,No,Yes,"Programming, Web development skill(Frontend)",1/2 hour,NETWORKING,Single,No,Bachelor,No,3.75,No,3.7,24,50000,
2021,Male,20,2020,BCSE,4,No,No,1,1,Online,Yes,Yes,3,Intermediate,90%,No,No,No,"Programming, Web development skill(Backend), Web development skill(Frontend)",2,"Software, Machine Learning / Deep Learning",Single,Yes,Family,No,3.85,No,3.92,34,40000,
2021,Female,20,2019,BCSE,Summer ,Yes,Yes,3/4,3/4,Offline,Yes,Yes,2/3,Basic,90%,No,No,No,Programming,1/2,Machine Learning / Deep Learning,Single,No,Family,No,2.68,No,2.68,23,1lac+,
2021,Female,21,2020,BCSE,2nd semester ,Yes,No,3 hours ,2 times,Online,Yes,Yes,1-2 hour ,Intermediate,99%,No,No,Yes,Programming,3 hours ,Software,Single,No,Bachelor,No,3.18,No,3.18,11 credits,0,
2019,Female,24,Diploma-2018,BCSE,11,Yes,No,2hr,1,Offline,Yes,Yes,1/2 hr,Intermediate,90,No,No,Yes,Web development skill(Frontend),2hr,Data Science,Married,No,Family,No,3.39,No,3.4,128,5000/-,
2021,Female,20,2020,BCSE,Summer-22,No,No,3-4,01,Online,Yes,Yes,4-5,Intermediate,100%,No,No,Yes,Programming,1-2,Software,Single,No,Bachelor,Yes,2.98,No,3.38,25,60000,
2021,Female,21,2020,BCSE,2nd,No,No,9,2,Offline,Yes,Yes,3,Intermediate,97%,Yes,No,No,Programming,5,Software,Single,No,Family,No,3.7,No,No,23,50000,
2018,Female,23,2017,BCSE,14,No,Yes,minimum 1hour,1/2 times,Offline,Yes,Yes,2/3 hours,Advance,80%,Yes,No,Yes,Programming,2,Machine Learning / Deep Learning,Married,No,Family,No,3.25,No,2.95,130,40000,
2021,Male,19,2020,BCSE,Third,No,Yes,2-3 hours,1 time,Online,Yes,Yes,"3,4 hours",Basic,85 percent,No,No,No,Programming,1 hour,Software,Single,No,Family,No,3.03,No,3.21,25,30000,
2021,Female,22,2020,BCSE,5,No,No,2,2,Offline,Yes,Yes,3,Intermediate,95,No,No,No,Programming,1,Software,Single,No,Bachelor,No,3.1,No,3.18,48,50000,
2022,Female,21,2020,BCSE,2nd,Yes,Yes,2,1,Offline,Yes,Yes,3 to 4 hours,Intermediate,98%,No,No,Yes,Programming,1,"Software, Hardware, Artificial Intelligence",Single,No,Family,No,3.7,No,3.7,12,120000,
2022,Male,21,2020,BCSE,Second ,Yes,Yes,9,8,Offline,Yes,Yes,6,Intermediate,70%,Yes,No,Yes,Programming,4,Software,Single,Yes,Family,No,4,No,4,12,30000,
2021,Male,19,2020,BCSE,3rd,Yes,Yes,maybe 1 or 2 hour,once,Offline,Yes,Yes,maybe 2 hour in total including youtube ,Intermediate,85%,No,No,Yes,"Programming, Software  Development skill",1 hour,Software,Single,Yes,Bachelor,No,3.18,No,3.45,23,i don't know surely. most probably 40000+,
2021,Female,19,2020,BCSE,3rd,Yes,Yes,2-4,2,Offline,Yes,Yes,3-4 ,Basic,100%,No,No,Yes,Programming,1-2,Software,Single,No,Family,No,3.61,No,3.74,25,40000,
2021,Male,22,2017,BCSE,3,Yes,No,2,1,Online,Yes,Yes,0,Intermediate,70%,No,No,No,Programming,1,"Software, Hardware, Machine Learning / Deep Learning",Single,No,Family,No,3.01,No,3.22,23,70000 bdt,
fall 2021,Female,21,2020,BCSE,3rd,No,Yes,2,2,Offline,Yes,Yes,5,Basic,80%,No,No,No,Programming,2,"Software, Artificial Intelligence",Single,No,Family,Yes,3.26,No,3.36,23,40000,
2016,Male,25,2016,BCSE,19,Yes,No,1,1,Offline,Yes,Yes,2,Intermediate,100%,No,No,No,"Web development skill(Frontend), Multi Tasking",2,"Software, Machine Learning / Deep Learning, Data Science",Single,Yes,Bachelor,No,3.6,No,3.72,130,300000,
2021 Fall,Male,20,2019,BCSE,3rd,No,No,2h,3,Offline,Yes,Yes,5h,Basic,100%,No,No,No,Programming,3h,Artificial Intelligence,Single,No,Bachelor,Yes,3.12,No,3.01,23,50000,
2022,Female,20,2020,BCSE,summer 1st semister,Yes,No,4hour,3times,Offline,Yes,Yes,2hours,Basic,100%,No,No,Yes,Software  Development skill,2hour,"Software, NETWORKING",Single,Yes,Bachelor,No,5,No,3.93,11,50000,
2021,Male,20,2020,BCSE,3rd,Yes,No,5-6 hours,3-4 hours ,Online,Yes,Yes,6-7 hours ,Advance,95%,Yes,No,No,Programming,1 hours ,"Software, Artificial Intelligence, UI/UX",Single,Yes,Bachelor,No,3,No,3.55,23,150000,
2019,Male,24,2018,BCSE,9th ,No,No,Less than 1 hour and attend the daily class.,Many times but in a short duration. ,Online,Yes,Yes,Too much ,Basic,70 percent ,Yes,No,Yes,"Programming, Web development skill(Frontend), Data Entry & Graphic Design ",20 to 30 minutes ,"Hardware, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,Yes,Family,No,1.61,No,2.44,40,25000,
2020,Male,22,2018,BCSE,6,Yes,Yes,1 hour,1,Online,Yes,Yes,3 hour,Basic,80%,No,No,No,Web development skill(Frontend),1 hour,Software,Single,No,Family,No,2.79,No,3.15,50,40000 BDT,
2021,Female,22,2020,BCSE,Summer 22,No,No,2,1,Offline,Yes,No,3,Intermediate,98%,No,No,No,Programming,2,Software,Single,No,Bachelor,No,3.83,No,3.4,25,40000,
2018,Male,26,Diploma 2018,BCSE,12,Yes,Yes,3,1,Online,Yes,Yes,2,Advance,100%,No,No,Yes,"Web development skill(Frontend), Networking",3,"Hardware, NETWORKING",Single,No,Family,No,3.58,No,3.27,130,Right one i don't know,
2021,Female,21,2020,BCSE,3rd,Yes,Yes,3/4,1,Offline,Yes,Yes,4,Basic,100,No,No,Yes,Web development skill(Backend),2,NETWORKING,Single,No,Family,No,3.39,No,3.19,25,70000,
2021,Male,20,2020,BCSE,3rd,Yes,No,3 to 4 hours,around 3 or 4 times,Offline,Yes,Yes,around 2 hours,Intermediate,100%,No,No,No,"Programming, Web development skill(Backend), Cyber security",around 2 hours,"Software, NETWORKING, Artificial Intelligence",Single,No,Bachelor,No,3.38,No,3.37,23,25000 BDT,
2021,Female,19,2020,BCSE,3rd,Yes,No,3-4,3-4hours,Offline,Yes,Yes,1-2hours,Intermediate,100%,No,No,Yes,Web development skill(Backend),1-2 hours ,Data Science,Single,No,Bachelor,Yes,3.03,No,3.15,23,30000,
2022,Male,20,2020,BCSE,summer 1st,No,No,3 hour,1,Offline,No,Yes,in Youtube 1 hour,Intermediate,100%,No,No,Yes,nothing in this serial,1,Cyber Security,Married,Yes,Family,No,first term,No,first term,first term,40000,
2021,Male,21,2020,BCSE,3rd,Yes,Yes,Hardly 1-2 hour,1,Offline,Yes,Yes,Maximum 1hour,Intermediate,95%,No,No,Yes,Programming,1hour,"Software, NETWORKING, Artificial Intelligence",Single,Yes,Family,No,3.65,No,3.7,Around 25-30 ,Around 40000,
2019,Female,22,2019,BCSE,9,No,Yes,3-4,1,Offline,Yes,Yes,2-3,Intermediate,80%,No,No,Yes,Web development skill(Frontend),1-2,"Hardware, Machine Learning / Deep Learning",Single,No,Family,Yes,3.18,No,2.69,80-90,30000,
2022,Male,21,2020,BCSE,2nd,Yes,Yes,3,2,Offline,Yes,Yes,2,Basic,100%,No,No,Yes,Programming,2,"Software, NETWORKING",Single,Yes,Family,No,3.78,No,None,11,30000,
2020,Male,24,2017,BCSE,8th,Yes,Yes,1,1,Offline,Yes,Yes,4,Intermediate,70%,No,No,No,"Programming, Mechine Learning",3,"Machine Learning / Deep Learning, Data Science",In a relationship,Yes,Family,No,2.56,No,3.38,90,30000,
2021,Male,20,2020,BCSE,3rd,Yes,No,2,2,Offline,No,Yes,12,Basic,90,No,No,No,learner,0,"Software, Hardware, Data Science",Single,No,Family,Yes,2.94,No,3.1,24,45000,
2021,Female,19,2020,BCSE,3,No,No,3-4,2-3,Offline,Yes,Yes,4/5,Intermediate,75-80%,Yes,No,Yes,Programming,2/3,"Software, NETWORKING, Artificial Intelligence",Single,No,Family,No,2.36,No,2.88,23,80000,
2022,Male,21,2021,BCSE,2nd,Yes,No,3,2,Online,Yes,No,5,Intermediate,100%,No,No,Yes,Programming,2,Software,Single,No,Family,No,3.8,No,3.8,11,"30,000 BDT",
2021,Male,22,2020,BCSE,3,Yes,No,0,0,Offline,Yes,Yes,15,Basic,80,Yes,No,No,Programming,0,Software,Single,No,Bachelor,No,1.53,No,2.43,23,30000,
2020,Female,21,2019,BCSE,7,No,Yes,2/3,2 times,Online,Yes,Yes,5/6 hours,Intermediate,80%,No,No,Yes,"Programming, Web development skill(Backend)",3 hours,UI/UX,In a relationship,No,Family,No,3,No,2.91,90,35000,
2021,Female,20,2020,BCSE,3rd,No,Yes,2 hour,1 hour,Offline,Yes,No,5 hour,Basic,80%,No,No,Yes,Programming,1 hour,Software,Single,Yes,Family,No,2.32,No,2.66,23,40000 BDT,
2022,Male,21,2022,BCSE,Fresher ,Yes,Yes,6,6,Online,Yes,Yes,4,Intermediate,90,Yes,No,Yes,Cyber security,For computer ,Software,Single,No,Bachelor,Yes,First semester ,Yes,Ops, 11 and cant complete yet or running ,So so,
2021,Female,21,2019,BCSE,3rd,Yes,No,00🙂,0 time,Offline,Yes,Yes,12-16 hours,Advance,50%,No,No,Yes,No skill,0,NETWORKING,In a relationship,Yes,Family,Yes,3.37,No,Don't remember ,Don't remember,00 BDT,
2021,Female,22,2020,BCSE,3rd,Yes,No,2,1,Offline,Yes,Yes,3,Intermediate,100%,No,No,Yes,Web development skill(Backend),1,Machine Learning / Deep Learning,Single,Yes,Bachelor,Yes,2.89,No,3.37,24,50000,
2021,Female,21,2019,BCSE,3rd,Yes,Yes,2 hour,3 hour,Offline,Yes,Yes,2 hour,Basic,90%,No,No,No,Programming,2 hour,Software,Single,No,Family,No,3.17,No,Not given,24 credit,40000 BDT,
2021,Female,20,2020,BCSE,3rd,Yes,Yes,2,2time,Offline,Yes,Yes,5/6 hr,Basic,100%,Yes,No,No,Programming,1hr,Software,Single,No,Family,Yes,2.26,No,2.31,20,35000,
2022,Female,21,2020,BCSE,2nd,Yes,No,5 hours,2,Offline,Yes,Yes,2,Basic,99%,No,No,No,Programming,1,"Software, Hardware, NETWORKING, Artificial Intelligence",Single,No,Bachelor,No,3.65,No,3.65,12,35000,
2021,Female,22,2019,BCSE,3rd,Yes,Yes,2 hr or 3 hr,1 time,Offline,Yes,Yes,5-10 min,Intermediate,96%,No,No,Yes,Programming,30min,Machine Learning / Deep Learning,Single,No,Family,No,3.03,No,3.02,25,49000 BDT,
2020,Male,22,2018,BCSE,Summer-2022,Yes,Yes,2-3 hours,1-2 time,Offline,Yes,Yes,4 hours,Basic,80,No,No,Yes,"Web development skill(Backend), Web development skill(Frontend)",0,"Software, Hardware, NETWORKING, Data Science, Security Analyst",Single,No,Bachelor,Yes,3.93,No,3.44,53,15000,
2019,Female,22,2018,BCSE,9,No,Yes,4,3,Offline,Yes,Yes,2,Advance,80%,No,No,Yes,Programming,2,Data Science,Single,Yes,Family,No,3,No,3.09,105,2000000 BDT,
2022,Female,20,2021,BCSE,1st,Yes,Yes,2h,1h,Offline,Yes,Yes,3-4h,Basic,98%,No,No,Yes,"Programming, Software  Development skill",0,"Software, Hardware, NETWORKING",Single,No,Family,No,0,No,0,0,0,
2022,Male,20,2020,BCSE,Second ,Yes,Yes,Overall 8 hours ,4,Offline,Yes,Yes,2,Basic,Obviously ,No,No,Yes,Programming,2,"Software, Hardware",Single,Yes,Bachelor,No,3.45,No,3.45,11,30000,
2021,Female,21,2020,BCSE,3rd,Yes,Yes,3/4,4/5,Offline,Yes,Yes,1/2,Basic,99.90%,No,No,Yes,Programming,1,Software,Single,No,Family,No,2.94,No,3.03,23,Few,
