University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems? ,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?,target
2020,Female,21,2019,BCSE,4th,No,Yes,6,3,Offline,Yes,Yes,3,Intermediate,95%,No,No,No,Programming,3,Software,Single,Yes,Family,No,,No,,,25000 BDT,
2021,Male,21,2020,BCSE,4th semester,Yes,Yes,1-2 hours,1-2,Online,Yes,Yes,Less than 1,Advance,Above 85%,No,No,Yes,Content creation ,1-2,"Machine Learning / Deep Learning, UI/UX, Data Science",Single,Yes,Bachelor,Yes,3.89,No,3.81,35,35000BDT tonbe exact ,
2021,Female,20,2020,BCSE,4th,No,No,3 hour,2,Offline,Yes,Yes,1 hour,Basic,97,No,No,Yes,Programming,1hour,Software,Single,No,Family,No,3.79,No,3.82,39,50000,
2021,Male,20,2020,BCSE,4th,No,No,4-5 hour,3-4 times,Offline,Yes,No,3-4hour,Basic,95%,No,No,No,"Programming, Video creating ",2-3 hour,Software,Single,Yes,Bachelor,No,,No,,,4000,
2021,Male,19,2020,BCSE,4th semester ,Yes,Yes,2/3 hours ,one time,Online,Yes,Yes,more than 4 hours ,Intermediate,70/80%,Yes,No,Yes,Programming,3/4 hours ,Artificial Intelligence,Single,Yes,Family,Yes,3.55,No,3.48,35,40000,
2021,Male,21,2020,BCSE,4th,Yes,Yes,2,1,Online,Yes,Yes,2,Intermediate,95%,No,No,Yes,"Programming, Software  Development skill, Web development skill(Frontend)",2,"Software, Artificial Intelligence, UI/UX, Data Science",Single,Yes,Bachelor,Yes,3.28,No,3.32,35,8000,
2021,Male,25,2020,BCSE,4,Yes,No,3,3,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Programming,3,Software,Single,Yes,Bachelor,No,,No,,,$400,
2022,Male,20,2020,BCSE,2nd,Yes,Yes,3/4,3,Online,Yes,Yes,4/5,Intermediate,90%,No,No,Yes,Programming,2/3,Machine Learning / Deep Learning,Single,No,Family,No,,No,,,30000,
2022,Male,20,2020,BCSE,2,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,95%,No,No,Yes,"Programming, Cyber security",3,"Software, NETWORKING, Artificial Intelligence, Data Science",Single,Yes,Family,No,,No,,,90000,
2022,Male,21,2021,BCSE,Secound ,No,No,5,5-6,Offline,Yes,Yes,2,Intermediate,90%,No,No,No,Programming,1 hour,Software,Single,No,Bachelor,No,,No,,,30000,
