Do you have meritorious scholarship ?,How many hour do you study daily?,What is your preferable learning mode?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,What is your relationship status?,What was your previous SGPA?,What is your current CGPA?,target
1,4.0,1,3.0,2,62,0,3,2.67,3.4,1
0,6.0,0,4.0,1,55,0,3,2.45,2.39,0
0,3.0,1,8.0,2,34,0,3,2.33,3.47,0
0,4.0,0,7.0,0,71,0,3,2.77,3.91,0
1,5.0,0,3.0,0,71,0,3,2.77,3.96,1
0,3.0,1,3.0,2,34,0,1,2.1,3.2,0
0,3.0,0,7.0,2,53,1,3,2.16,3.33,0
0,3.0,0,3.0,0,66,0,1,2.75,3.64,1
0,3.0,1,7.0,0,34,0,3,2.01,3.15,0
1,6.0,1,3.0,2,39,0,3,2.77,3.8,1
1,6.0,0,3.0,0,71,0,2,2.02,3.11,0
0,3.0,1,5.0,0,71,0,3,2.56,3.79,1
0,2.0,0,3.0,2,71,1,1,2.56,3.63,1
1,4.0,0,3.0,2,71,0,3,2.81,3.97,1
1,2.0,1,3.0,1,55,0,3,2.33,3.68,0
0,3.0,1,5.0,2,71,0,3,2.22,3.45,0
1,5.0,0,3.0,2,71,0,3,2.66,3.79,1
0,4.0,0,3.0,2,51,0,2,2.71,3.78,1
0,3.0,0,8.0,2,53,0,1,2.22,3.19,0
1,7.0,0,2.0,0,71,0,3,2.75,3.93,1
1,6.0,0,6.0,2,71,0,3,2.61,3.78,0
1,4.0,0,2.0,2,71,1,2,2.78,3.83,1
1,7.0,0,2.0,0,71,0,3,2.91,3.97,2
0,3.0,1,5.0,1,71,0,3,2.65,3.57,1
0,4.0,1,6.0,2,40,0,3,2.23,3.65,0
0,3.0,1,6.0,1,50,0,3,2.13,3.28,0
1,5.0,0,5.0,2,71,0,3,2.66,3.85,1
0,3.0,1,3.0,2,71,0,3,2.87,3.9,1
0,2.0,1,3.0,2,32,0,1,2.65,3.75,0
0,3.0,0,6.0,2,44,0,3,2.11,3.46,0
0,3.0,0,5.0,2,71,0,3,2.45,3.76,0
0,2.0,0,2.0,2,71,1,3,2.67,3.7,1
1,3.0,1,2.0,1,71,1,1,2.61,3.77,1
0,4.0,0,2.0,2,71,1,1,2.75,3.8,1
1,6.0,0,3.0,0,71,0,3,2.56,3.95,1
0,2.0,0,3.0,2,43,1,3,2.87,3.91,1
1,2.0,0,4.0,2,71,0,1,2.57,3.88,1
1,5.0,0,4.0,0,71,0,3,2.56,3.89,1
1,6.0,1,2.0,0,71,0,3,2.87,3.94,1
0,4.0,0,3.0,2,71,0,3,2.77,3.83,1
1,2.0,0,3.0,0,71,1,3,2.75,3.81,1
1,2.0,0,6.0,2,71,0,3,2.91,3.98,0
0,4.0,1,5.0,2,71,0,3,2.33,3.45,0
0,3.0,0,3.0,2,33,0,1,2.76,3.56,0
1,6.0,0,3.0,2,55,0,3,2.07,3.12,0
0,4.0,1,2.0,0,71,1,3,2.56,3.6,1
0,3.0,0,3.0,1,31,1,1,2.67,3.77,0
0,5.0,0,5.0,0,71,0,3,2.55,3.66,1
0,2.0,0,3.0,2,71,0,1,2.34,3.44,0
0,2.0,0,3.0,0,51,1,3,2.35,3.43,0
1,4.0,0,4.0,1,71,1,3,2.5,2.22,0
